galaxy,ra_deg_icrs,dec_deg_icrs,ra_hms_icrs,dec_dms_icrs,coordinate_source,observation_programs,observation_ids,available_i2d_filters,cluster_or_group,membership_basis,membership_reference,distance_mpc,distance_stat_uncertainty_mpc,distance_systematic_uncertainty_mpc,distance_modulus_mag,distance_modulus_stat_uncertainty_mag,distance_method,distance_scope,distance_reference,distance_notes
NGC 4387,186.4238000000,12.8099000000,12:25:41.712,+12:48:35.64,TARG_RA/TARG_DEC in data/NGC 4387/jw07763-o023_t023_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o023_t023,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,17.947,0.496,1.100,31.270,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E5; 1.1 Mpc common systematic listed separately.
NGC 4388,186.4442000000,12.6629000000,12:25:46.608,+12:39:46.44,TARG_RA/TARG_DEC in data/NGC 4388/jw07763-o013_t013_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o013_t013,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4402,186.5306000000,13.1125000000,12:26:07.344,+13:06:45.00,TARG_RA/TARG_DEC in data/NGC 4402/jw07763-o022_t022_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o022_t022,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4406,186.5492250000,12.9459694444,12:26:11.814,+12:56:45.49,TARG_RA/TARG_DEC in data/NGC 4406/jw03055-o005_t005_nircam_clear-f150w_i2d.fits,JWST GO-3055; JWST GO-7763 (J-Virgo),GO-3055:o005_t005; GO-7763:o078_t078,GO-3055:F090W+F150W; GO-7763:no local i2d,Virgo Cluster,GO-3055 and GO-7763 target context; ACSVCS membership,https://arxiv.org/abs/astro-ph/0702510,16.565,0.191,,31.096,0.025,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4413,186.6343908333,12.6107083333,12:26:32.254,+12:36:38.55,TARG_RA/TARG_DEC in data/NGC 4413/jw07763-o031_t031_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o031_t031,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4429,186.8607000000,11.1077000000,12:27:26.568,+11:06:27.72,TARG_RA/TARG_DEC in data/NGC 4429/jw07763-o005_t005_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o005_t005,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4431,186.8640808333,12.2902777778,12:27:27.379,+12:17:25.00,TARG_RA/TARG_DEC in data/NGC 4431/jw07763-o042_t042_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o042_t042,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4435,186.9187170833,13.0789833333,12:27:40.492,+13:04:44.34,TARG_RA/TARG_DEC in data/NGC 4435/jw07763-o008_t008_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o008_t008,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.749,0.386,1.100,31.120,0.050,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=SB0_1_(6); 1.1 Mpc common systematic listed separately.
NGC 4436,186.9218158333,12.3158888889,12:27:41.236,+12:18:57.20,TARG_RA/TARG_DEC in data/NGC 4436/jw07763-o045_t045_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o045_t045,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4438,186.9402020833,13.0088750000,12:27:45.649,+13:00:31.95,TARG_RA/TARG_DEC in data/NGC 4438/jw07763-o006_t006_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o006_t006,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4442,187.0162000000,9.8037000000,12:28:03.888,+09:48:13.32,TARG_RA/TARG_DEC in data/NGC 4442/jw07763-o012_t012_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o012_t012,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.276,0.422,1.100,30.920,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=SB0_1_(6); 1.1 Mpc common systematic listed separately.
NGC 4452,187.1804470833,11.7550333333,12:28:43.307,+11:45:18.12,TARG_RA/TARG_DEC in data/NGC 4452/jw07763-o033_t033_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o033_t033,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4458,187.2398350000,13.2419333333,12:28:57.560,+13:14:30.96,TARG_RA/TARG_DEC in data/NGC 4458/jw07763-o021_t021_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o021_t021,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.368,0.377,1.100,31.070,0.050,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E1; 1.1 Mpc common systematic listed separately.
NGC 4459,187.2503000000,13.9784000000,12:29:00.072,+13:58:42.24,TARG_RA/TARG_DEC in data/NGC 4459/jw07763-o009_t009_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o009_t009,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.069,0.444,1.100,31.030,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=S0_3_(2); 1.1 Mpc common systematic listed separately.
NGC 4461,187.2625500000,13.1838000000,12:29:03.012,+13:11:01.68,TARG_RA/TARG_DEC in data/NGC 4461/jw07763-o014_t014_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o014_t014,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4472,187.4450000000,8.0002777778,12:29:46.800,+08:00:01.00,TARG_RA/TARG_DEC in data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o006_t006,GO-3055:F090W+F150W,Virgo Cluster,GO-3055 TRGB-SBF target context; established Virgo membership,https://arxiv.org/abs/2603.11160,15.966,0.199,,31.016,0.027,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4473,187.4536250000,13.4294361111,12:29:48.870,+13:25:45.97,TARG_RA/TARG_DEC in data/NGC 4473/jw07763-o004_t004_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o004_t004,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.276,0.422,1.100,30.920,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E5; 1.1 Mpc common systematic listed separately.
NGC 4474,187.4732000000,14.0686000000,12:29:53.568,+14:04:06.96,TARG_RA/TARG_DEC in data/NGC 4474/jw07763-o020_t020_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o020_t020,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.560,0.502,1.100,30.960,0.070,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=S0_1_(8); 1.1 Mpc common systematic listed separately.
NGC 4476,187.4961529167,12.3487194444,12:29:59.077,+12:20:55.39,TARG_RA/TARG_DEC in data/NGC 4476/jw07763-o024_t024_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o024_t024,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,17.620,0.568,1.100,31.230,0.070,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=S0_3_(5); 1.1 Mpc common systematic listed separately.
NGC 4477,187.5093000000,13.6362000000,12:30:02.232,+13:38:10.32,TARG_RA/TARG_DEC in data/NGC 4477/jw07763-o007_t007_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o007_t007,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4478,187.5725708333,12.3285583333,12:30:17.417,+12:19:42.81,TARG_RA/TARG_DEC in data/NGC 4478/jw07763-o017_t017_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o017_t017,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.982,0.469,1.100,31.150,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E2; 1.1 Mpc common systematic listed separately.
NGC 4479,187.5766000000,13.5777000000,12:30:18.384,+13:34:39.72,TARG_RA/TARG_DEC in data/NGC 4479/jw07763-o037_t037_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o037_t037,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,17.378,0.480,1.100,31.200,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=SB0_2_(2); 1.1 Mpc common systematic listed separately.
NGC 4482,187.5430000000,10.7795000000,12:30:10.320,+10:46:46.20,TARG_RA/TARG_DEC in data/NGC 4482/jw07763-o041_t041_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o041_t041,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,18.113,0.500,1.100,31.290,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=d:E5,N; 1.1 Mpc common systematic listed separately."
NGC 4486,187.7058954167,12.3911694444,12:30:49.415,+12:23:28.21,TARG_RA/TARG_DEC in data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,JWST GO-3055; JWST GO-7763 (J-Virgo),GO-3055:o007_t007; GO-7763:o077_t077,GO-3055:F090W+F150W; GO-7763:no local i2d,Virgo Cluster,GO-3055 and GO-7763 target context; ACSVCS membership,https://arxiv.org/abs/astro-ph/0702510,16.188,0.186,,31.046,0.025,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4497,187.8855750000,11.6247472222,12:31:32.538,+11:37:29.09,TARG_RA/TARG_DEC in data/NGC 4497/jw07763-o035_t035_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o035_t035,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4503,188.0260000000,11.1764000000,12:32:06.240,+11:10:35.04,TARG_RA/TARG_DEC in data/NGC 4503/jw07763-o015_t015_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o015_t015,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4506,188.0437350000,13.4193555556,12:32:10.496,+13:25:09.68,TARG_RA/TARG_DEC in data/NGC 4506/jw07763-o040_t040_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o040_t040,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4528,188.5253000000,11.3212000000,12:34:06.072,+11:19:16.32,TARG_RA/TARG_DEC in data/NGC 4528/jw07763-o028_t028_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o028_t028,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.849,0.365,1.100,31.000,0.050,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=SB0_2_(5); 1.1 Mpc common systematic listed separately.
NGC 4531,188.5662000000,13.0754000000,12:34:15.888,+13:04:31.44,TARG_RA/TARG_DEC in data/NGC 4531/jw07763-o018_t018_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o018_t018,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4548,188.8610000000,14.4955000000,12:35:26.640,+14:29:43.80,TARG_RA/TARG_DEC in data/NGC 4548/jw07763-o003_t003_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o003_t003,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4550,188.8774000000,12.2208000000,12:35:30.576,+12:13:14.88,TARG_RA/TARG_DEC in data/NGC 4550/jw07763-o026_t026_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o026_t026,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.488,0.357,1.100,30.950,0.050,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E7/S0_1_(7); 1.1 Mpc common systematic listed separately.
NGC 4551,188.9081000000,12.2640000000,12:35:37.944,+12:15:50.40,TARG_RA/TARG_DEC in data/NGC 4551/jw07763-o029_t029_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o029_t029,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.144,0.446,1.100,31.040,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E2; 1.1 Mpc common systematic listed separately.
NGC 4552,188.9158637500,12.5563416667,12:35:39.807,+12:33:22.83,TARG_RA/TARG_DEC in data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d.fits,JWST GO-3055; JWST GO-7763 (J-Virgo),GO-3055:o008_t008; GO-7763:o080_t080,GO-3055:F090W+F150W; GO-7763:no local i2d,Virgo Cluster,GO-3055 and GO-7763 target context; ACSVCS membership,https://arxiv.org/abs/astro-ph/0702510,15.297,0.197,,30.923,0.028,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4564,189.1124000000,11.4392000000,12:36:26.976,+11:26:21.12,TARG_RA/TARG_DEC in data/NGC 4564/jw07763-o016_t016_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o016_t016,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.849,0.438,1.100,31.000,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E6; 1.1 Mpc common systematic listed separately.
NGC 4569,189.2088000000,13.1653000000,12:36:50.112,+13:09:55.08,TARG_RA/TARG_DEC in data/NGC 4569/jw07763-o002_t002_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o002_t002,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4571,189.2345000000,14.2178000000,12:36:56.280,+14:13:04.08,TARG_RA/TARG_DEC in data/NGC 4571/jw07763-o010_t010_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o010_t010,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4579,189.4310000000,11.8182000000,12:37:43.440,+11:49:05.52,TARG_RA/TARG_DEC in data/NGC 4579/jw07763-o001_t001_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o001_t001,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4606,190.2401000000,11.9121000000,12:40:57.624,+11:54:43.56,TARG_RA/TARG_DEC in data/NGC 4606/jw07763-o030_t030_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o030_t030,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
