galaxy,source_articles,source_urls,already_processed,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,jwst_programs,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
NGC 57,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 5839,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,8,8,F090W;F277W;F150W;F356W,7034,False,False,False,,,,
NGC 6482,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 665,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 6702,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 6964,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 7052,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 708,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 7242,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 7331,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,70,0,,,False,False,False,,,,
NGC 741,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 7619,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 777,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 809,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 890,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 891,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,141,6,F150W;F187N;F277W;F335M,2180;5627,True,False,False,jw02180-o003_t003_nircam_clear-f150w-sub640,,mast:JWST/product/jw02180-o003_t003_nircam_clear-f150w-sub640_i2d.fits,
NGC 910,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 925,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
